date,manager,profit,flow,equity_sod,roe
1/11/2017,PAR,29237946.37,0,5206823763,0.005615
1/12/2017,PAR,-3875219,0,5236061710,-0.00074
1/13/2017,PAR,51166613.85,0,5232186491,0.009779
1/17/2017,PAR,-45889619.58,0,5283353104,-0.008686
1/18/2017,PAR,-7962272.98,0,5237463485,-0.00152
1/19/2017,PAR,3175894.13,0,5229501212,0.000607
1/20/2017,PAR,34079962.97,0,5232677106,0.006513
1/23/2017,PAR,-43806728.8,0,5266757069,-0.008318
1/24/2017,PAR,29053287.88,0,5222950340,0.005563
1/25/2017,PAR,47376827.33,0,5252003628,0.009021
1/26/2017,PAR,727401.19,0,5299380455,0.000137
1/27/2017,PAR,-10723254.86,0,5300107857,-0.002023
1/30/2017,PAR,-56124122.88,0,5289384602,-0.010611
1/31/2017,PAR,6178167.35,0,5233260479,0.001181
2/1/2017,PAR,36129561.28,0,5239438646,0.006896
2/2/2017,PAR,5390830.92,0,5275568207,0.001022
2/3/2017,PAR,48004822.41,0,5280959038,0.00909
2/6/2017,PAR,-15105221.01,0,5328963861,-0.002835
2/7/2017,PAR,-38337464.06,0,5313858640,-0.007215
2/8/2017,PAR,-6395684,0,5275521176,-0.001212
2/9/2017,PAR,30351368.71,0,5269125492,0.00576
2/10/2017,PAR,-4746980.85,0,5299476860,-0.000896
2/13/2017,PAR,585712.25,0,5294729880,0.000111
2/14/2017,PAR,34062912.8,0,5295315592,0.006433
2/15/2017,PAR,78134809,0,5329378505,0.014661
2/16/2017,PAR,-56492335.32,0,5407513314,-0.010447
2/17/2017,PAR,9045748.26,0,5351020978,0.00169
2/21/2017,PAR,-35792557.86,0,5360066727,-0.006678
2/22/2017,PAR,-25168293.23,0,5324274169,-0.004727
2/23/2017,PAR,-19249587.47,0,5299105875,-0.003633
2/24/2017,PAR,3174113.31,0,5279856288,0.000601
2/27/2017,PAR,18637049.06,0,5283030401,0.003528
2/28/2017,PAR,-20521059.94,0,5301667450,-0.003871
3/1/2017,PAR,68002807.96,0,5281146390,0.012877
3/2/2017,PAR,-41737116.88,0,5349149198,-0.007803
3/3/2017,PAR,57627696.57,0,5307412082,0.010858
3/6/2017,PAR,-45191246.68,0,5365039778,-0.008423
3/7/2017,PAR,-26470025.08,0,5319848531,-0.004976
3/8/2017,PAR,15183694.89,0,5293378506,0.002868
3/9/2017,PAR,-13895906.89,0,5308562201,-0.002618
